Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A063YN85	unreviewed	Corrinoid adenosyltransferase	1482739	Geobacillus sp. CAMR5420	192	IPR029499	2..181
A0A063ZPG8	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1495067	Halostagnicola sp. A56	177	IPR029499	2..173
A0A064AGW1	unreviewed	Corrinoid adenosyltransferase	1441736	Fusobacterium necrophorum BFTR-2	182	IPR029499	5..178
A0A064CQV8	unreviewed	Corrinoid adenosyltransferase	1440774	Mycolicibacterium aromaticivorans JS19b1 = JCM 16368	197	IPR029499	4..178
A0A066PQG2	unreviewed	Corrinoid adenosyltransferase	1464546	Acidiphilium sp. JA12-A1	185	IPR029499	3..180
A0A066UBF7	unreviewed	Corrinoid adenosyltransferase	287986	Amycolatopsis rifamycinica	191	IPR029499	4..179
A0A066WJ15	unreviewed	Corrinoid adenosyltransferase	1492738	Flavobacterium seoulense	189	IPR029499	2..185
A0A066YQQ3	unreviewed	Corrinoid adenosyltransferase	1348663	Kitasatospora cheerisanensis KCTC 2395	190	IPR029499	4..180
A0A067QV91	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	136037	Zootermopsis nevadensis	221	IPR029499	27..209
A0A067Z1C4	unreviewed	Corrinoid adenosyltransferase	1288313	Gluconobacter oxydans DSM 3504	190	IPR029499	4..180
A0A068NYV9	unreviewed	Corrinoid adenosyltransferase	661478	Fimbriimonas ginsengisoli Gsoil 348	182	IPR029499	2..177
A0A068RKI0	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1263082	Lichtheimia corymbifera JMRC:FSU:9682	227	IPR029499	36..227
A0A068STV9	unreviewed	Corrinoid adenosyltransferase	1028800	Neorhizobium galegae bv. orientalis str. HAMBI 540	190	IPR029499	3..184
A0A068TCM8	unreviewed	Corrinoid adenosyltransferase	1028801	Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141	190	IPR029499	3..184
A0A068VS85	unreviewed	Corrinoid adenosyltransferase	66712	Propionibacterium freudenreichii subsp. freudenreichii	202	IPR029499	3..194
A0A068YS42	unreviewed	Cobalamin adenosyltransferase	1504672	Polaromonas sp. CG9_12	226	IPR029499	36..214
A0A069B874	unreviewed	Cobalamin adenosyltransferase	28450	Burkholderia pseudomallei	190	IPR029499	4..179
A0A069CXR3	unreviewed	Corrinoid adenosyltransferase	1121097	Bacteroides graminisolvens DSM 19988 = JCM 15093	191	IPR029499	2..181
A0A069D2Q1	unreviewed	Corrinoid adenosyltransferase	1121097	Bacteroides graminisolvens DSM 19988 = JCM 15093	187	IPR029499	2..184
A0A069D8Y5	unreviewed	Corrinoid adenosyltransferase	1499968	Paenibacillus sp. TCA20	189	IPR029499	2..181
A0A069E586	unreviewed	Corrinoid adenosyltransferase	1280949	Hyphomonas adhaerens MHS-3	190	IPR029499	3..178
A0A069EZY9	unreviewed	Corrinoid adenosyltransferase	1484479	Exiguobacterium sp. AB2	183	IPR029499	2..171
A0A069I9L2	unreviewed	Cobalamin adenosyltransferase	1470558	Cupriavidus sp. SK-3	181	IPR029499	4..179
A0A069ILK5	unreviewed	Corrinoid adenosyltransferase	1495854	Brevundimonas sp. EAKA	190	IPR029499	4..184
A0A069P6C4	unreviewed	Cobalamin adenosyltransferase	1071679	Caballeronia grimmiae	182	IPR029499	4..181
A0A069PVC0	unreviewed	Cobalamin adenosyltransferase	60547	Caballeronia glathei	183	IPR029499	4..179
A0A069QHX7	unreviewed	Corrinoid adenosyltransferase	1122985	Hoylesella loescheii DSM 19665 = JCM 12249 = ATCC 15930	184	IPR029499	2..181
A0A069SM25	unreviewed	Corrinoid adenosyltransferase	1339352	Phocaeicola vulgatus str. 3975 RP4	183	IPR029499	1..180
A0A069SQ42	unreviewed	Corrinoid adenosyltransferase	1339352	Phocaeicola vulgatus str. 3975 RP4	179	IPR029499	2..169
A0A069ZI38	unreviewed	Corrinoid adenosyltransferase	997829	Porphyromonas sp. KLE 1280	191	IPR029499	4..185
A0A069ZLU9	unreviewed	Corrinoid adenosyltransferase	997829	Porphyromonas sp. KLE 1280	196	IPR029499	2..180
A0A071LPZ9	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1224318	Mangrovibacter sp. MFB070	350	IPR029499	2..171
A0A071MG71	unreviewed	Cobalamin adenosyltransferase	95486	Burkholderia cenocepacia	183	IPR029499	4..179
A0A072N4V7	unreviewed	Corrinoid adenosyltransferase	1137280	Marinobacter nitratireducens	185	IPR029499	4..181
A0A072ND53	unreviewed	Corrinoid adenosyltransferase	1489678	Deinococcus sp. RL	189	IPR029499	2..184
A0A072NHW4	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1348973	Schinkia azotoformans MEV2011	332	IPR029499	2..169
A0A072NQT2	unreviewed	Corrinoid adenosyltransferase	1348973	Schinkia azotoformans MEV2011	182	IPR029499	2..176
A0A073AVL0	unreviewed	Corrinoid adenosyltransferase	28042	Saccharopolyspora rectivirgula	190	IPR029499	4..180
A0A073IMV0	unreviewed	Corrinoid adenosyltransferase	1300350	Sulfitobacter donghicola DSW-25 = KCTC 12864 = JCM 14565	190	IPR029499	5..184
A0A073J0A6	unreviewed	Corrinoid adenosyltransferase	1402135	Pseudosulfitobacter pseudonitzschiae	190	IPR029499	5..184
A0A073J210	unreviewed	Corrinoid adenosyltransferase	2754	Synergistes jonesii	168	IPR029499	3..167
A0A073KDY6	unreviewed	Corrinoid adenosyltransferase	574376	Bacillus manliponensis	190	IPR029499	2..180
A0A073KMY2	unreviewed	Corrinoid adenosyltransferase	574375	Bacillus gaemokensis	193	IPR029499	2..180
A0A074JWI5	unreviewed	Corrinoid adenosyltransferase	1353528	Thioclava indica	190	IPR029499	5..184
A0A074JX95	unreviewed	Corrinoid adenosyltransferase	1353537	Thioclava pacifica DSM 10166	190	IPR029499	5..184
A0A074KSM7	unreviewed	Corrinoid adenosyltransferase	1048983	Anditalea andensis	198	IPR029499	2..181
A0A074L4I2	unreviewed	Corrinoid adenosyltransferase	1048983	Anditalea andensis	185	IPR029499	2..179
A0A074LL23	unreviewed	Corrinoid adenosyltransferase	1157490	Tumebacillus flagellatus	187	IPR029499	2..180
A0A074LZY1	unreviewed	Corrinoid adenosyltransferase	1044	Erythrobacter longus	191	IPR029499	3..185
A0A074ME06	unreviewed	Corrinoid adenosyltransferase	39960	Erythrobacter litoralis	191	IPR029499	3..185
A0A074TJY7	unreviewed	Corrinoid adenosyltransferase	1185766	Thioclava dalianensis	190	IPR029499	5..184
A0A075A8N3	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	6198	Opisthorchis viverrini	289	IPR029499	50..257
A0A075B5C4	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	988480	Rozella allomycis (strain CSF55)	195	IPR029499	10..195
A0A075FMX7	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1455904	uncultured marine thaumarchaeote AD1000_26_G12	178	IPR029499	2..177
A0A075FX17	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1457803	uncultured marine group II/III euryarchaeote AD1000_70_A08	205	IPR029499	3..199
A0A075FZI6	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1457819	uncultured marine group II/III euryarchaeote AD1000_87_H07	184	IPR029499	2..176
A0A075G9Y5	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1457860	uncultured marine group II/III euryarchaeote KM3_12_E09	210	IPR029499	3..203
A0A075GFE3	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1457903	uncultured marine group II/III euryarchaeote KM3_157_C11	133	IPR029499	1..127
A0A075GXR2	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1456082	uncultured marine thaumarchaeote KM3_193_D11	178	IPR029499	2..178
A0A075H0F6	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1457980	uncultured marine group II/III euryarchaeote KM3_202_H06	202	IPR029499	3..195
A0A075H5C2	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1456449	uncultured marine group II/III euryarchaeote KM3_45_C02	133	IPR029499	1..127
A0A075HNP8	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1456255	uncultured marine thaumarchaeote KM3_70_F01	178	IPR029499	2..178
A0A075HP74	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1456517	uncultured marine group II/III euryarchaeote KM3_82_B10	202	IPR029499	3..195
A0A075HWC0	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1456331	uncultured marine thaumarchaeote KM3_87_H02	178	IPR029499	2..178
A0A075I3E4	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1456341	uncultured marine thaumarchaeote KM3_89_H08	178	IPR029499	2..177
A0A075IAR6	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1456583	uncultured marine group II/III euryarchaeote SAT1000_41_C12	181	IPR029499	2..177
A0A075JF24	unreviewed	Corrinoid adenosyltransferase	1274	Dermacoccus nishinomiyaensis	203	IPR029499	5..197
A0A075JRY0	unreviewed	Corrinoid adenosyltransferase	403957	Virgibacillus sp. SK37	195	IPR029499	2..178
A0A075K428	unreviewed	Corrinoid adenosyltransferase	1217721	Dyella japonica A8	188	IPR029499	4..180
A0A075K9B2	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	484770	Pelosinus sp. UFO1	327	IPR029499	2..177
A0A075KBN7	unreviewed	Corrinoid adenosyltransferase	484770	Pelosinus sp. UFO1	167	IPR029499	2..163
A0A075KM66	unreviewed	Corrinoid adenosyltransferase	484770	Pelosinus sp. UFO1	173	IPR029499	1..169
A0A075LGT0	unreviewed	Corrinoid adenosyltransferase	386490	Terribacillus goriensis	181	IPR029499	2..175
A0A075LSL2	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1343739	Palaeococcus pacificus DY20341	173	IPR029499	3..170
A0A075N020	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1459636	Candidatus Nitrososphaera evergladensis SR1	191	IPR029499	2..187
A0A075NYM2	unreviewed	Corrinoid adenosyltransferase	589873	Alteromonas australica	171	IPR029499	2..169
A0A075QZS9	unreviewed	Corrinoid adenosyltransferase	1042163	Brevibacillus laterosporus LMG 15441	182	IPR029499	2..177
A0A075RE59	unreviewed	Corrinoid adenosyltransferase	96345	Flavobacterium psychrophilum	189	IPR029499	2..185
A0A075UNQ6	unreviewed	Corrinoid adenosyltransferase	208439	Amycolatopsis japonica	190	IPR029499	4..179
A0A075WCP2	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1344584	Archaeoglobus fulgidus DSM 8774	162	IPR029499	5..150
A0A076F1Q8	unreviewed	Corrinoid adenosyltransferase	37919	Rhodococcus opacus	191	IPR029499	4..180
A0A076HWC5	unreviewed	Corrinoid adenosyltransferase	1356852	Hymenobacter sp. APR13	182	IPR029499	2..179
A0A076ILU2	unreviewed	Corrinoid adenosyltransferase	357276	Phocaeicola dorei	187	IPR029499	2..184
A0A076ILZ4	unreviewed	Corrinoid adenosyltransferase	357276	Phocaeicola dorei	191	IPR029499	3..181
A0A076MKS5	unreviewed	Corrinoid adenosyltransferase	1068978	Amycolatopsis methanolica 239	190	IPR029499	4..179
A0A076PKU5	unreviewed	Cobalamin adenosyltransferase	1392005	Comamonas testosteroni TK102	188	IPR029499	4..179
A0A077AQT4	unreviewed	Corrinoid adenosyltransferase	91604	Candidatus Paracaedibacter acanthamoebae	184	IPR029499	3..178
A0A077ELG6	unreviewed	Corrinoid adenosyltransferase	1338011	Elizabethkingia anophelis NUHP1	191	IPR029499	3..188
A0A077F8G4	unreviewed	Corrinoid adenosyltransferase	237609	Pseudomonas alkylphenolica	186	IPR029499	4..182
A0A077JV56	unreviewed	Corrinoid adenosyltransferase	287	Pseudomonas aeruginosa	192	IPR029499	4..187
A0A077KLM0	unreviewed	Corrinoid adenosyltransferase	878220	Chryseobacterium sp. StRB126	189	IPR029499	2..186
A0A077LP08	unreviewed	Corrinoid adenosyltransferase	1028989	Pseudomonas sp. StFLB209	191	IPR029499	4..187
A0A077LT71	unreviewed	Corrinoid adenosyltransferase	1194083	Nostocoides japonicum T1-X7	207	IPR029499	4..194
A0A077ME17	unreviewed	Corrinoid adenosyltransferase	1193518	Nostocoides jenkinsii Ben 74	210	IPR029499	4..194
A0A077WVK5	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	688394	Lichtheimia ramosa	185	IPR029499	2..185
A0A077ZDF7	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	36087	Trichuris trichiura	228	IPR029499	7..204
A0A077ZR98	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	5949	Stylonychia lemnae	193	IPR029499	41..178
